"LE_MET_level6","fishing_hours","Benthis_metiers","Benthis_metiers_2016_Wrong","Metier_level5","Metier_level4","JNCC_grouping","Fishing_category","Description","Fishing_category_FO","ID"
"LLS_DEF_1249",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",205
"LLS_DEF_157-219_0_0",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",206
"LLS_DEF_1749",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",207
"LLS_DEF_2499",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",208
"LLS_DEF_349",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",209
"LLS_DEF_3999",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",210
"LLS_DEF_50-59_0_0",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",211
"LLS_DEF_624",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",212
"LLS_DEF_874",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",213
"LLS_DEF_>=220_0_0",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",214
"LLS_DEF_UND_0_0",NA,NA,NA,"LLS_DEF","LLS",NA,"Static","Longlines","Static",215
"LLS_DWS_0",NA,NA,NA,"LLS_DWS","LLS",NA,"Static","Longlines","Static",216
"LLS_DWS_0_0_0",NA,NA,NA,"LLS_DWS","LLS",NA,"Static","Longlines","Static",217
"LLS_DWS_1249",NA,NA,NA,"LLS_DWS","LLS",NA,"Static","Longlines","Static",218
"LLS_DWS_2499",NA,NA,NA,"LLS_DWS","LLS",NA,"Static","Longlines","Static",219
"LLS_DWS_3999",NA,NA,NA,"LLS_DWS","LLS",NA,"Static","Longlines","Static",220
"LLS_FIF_-_0_0",NA,NA,NA,"LLS_FIF","LLS",NA,"Static","Longlines","Static",221
"LLS_FIF_0_0_0",NA,NA,NA,"LLS_FIF","LLS",NA,"Static","Longlines","Static",222
"LLS_FWS_0_0_0",NA,NA,NA,"LLS_FWS","LLS",NA,"Static","Longlines","Static",223
"LLS_FWS_10-30_0_0",NA,NA,NA,"LLS_FWS","LLS",NA,"Static","Longlines","Static",224
"LLS_FWS_110-156_0_0",NA,NA,NA,"LLS_FWS","LLS",NA,"Static","Longlines","Static",225
"LLS_FWS_157-219_0_0",NA,NA,NA,"LLS_FWS","LLS",NA,"Static","Longlines","Static",226
"LLS_NOC_0_0_0",NA,NA,NA,"LLS_NOC","LLS",NA,"Static","Longlines","Static",227
"LLS_SPF_0",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",228
"LLS_SPF_0-0_0_0",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",229
"LLS_SPF_0_0_0",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",230
"LLS_SPF_10-30_0_0",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",231
"LLS_SPF_349",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",232
"LLS_SPF_3999",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",233
"LLS_SPF_624",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",234
"LLS_SPF_874",NA,NA,NA,"LLS_SPF","LLS",NA,"Static","Longlines","Static",235
"LLS_UNK_0",NA,NA,NA,"LLS_UNK","LLS",NA,"Static","Longlines","Static",236
"LLS_UNK_1249",NA,NA,NA,"LLS_UNK","LLS",NA,"Static","Longlines","Static",237
"LLS_UNK_349",NA,NA,NA,"LLS_UNK","LLS",NA,"Static","Longlines","Static",238
"LL_CRU_0",NA,NA,NA,"LL_CRU","LL",NA,"Static","Longlines","Static",239
"LL_CRU_624",NA,NA,NA,"LL_CRU","LL",NA,"Static","Longlines","Static",240
"LL_DEF_0",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",241
"LL_DEF_1249",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",242
"LL_DEF_149",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",243
"LL_DEF_1749",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",244
"LL_DEF_2499",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",245
"LL_DEF_349",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",246
"LL_DEF_624",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",247
"LL_DEF_874",NA,NA,NA,"LL_DEF","LL",NA,"Static","Longlines","Static",248
"LL_DWS_0",NA,NA,NA,"LL_DWS","LL",NA,"Static","Longlines","Static",249
"LL_DWS_1749",NA,NA,NA,"LL_DWS","LL",NA,"Static","Longlines","Static",250
"LL_SPF_0",NA,NA,NA,"LL_SPF","LL",NA,"Static","Longlines","Static",251
"LL_SPF_1249",NA,NA,NA,"LL_SPF","LL",NA,"Static","Longlines","Static",252
